time_ms,alpha_i_Pd0um,alpha_i_Pd10um,alpha_i_Pd20um,alpha_i_Pd40um,alpha_i_Pd60um,alpha_i_Pd100um
0.0000,18.5227,19.1718,19.8829,21.5283,23.5536,29.3351
0.3006,17.7500,17.7844,17.6752,17.9651,20.1410,25.3385
0.6012,18.8799,19.1007,19.7330,20.9859,20.9657,29.8441
0.9018,18.7746,20.1898,19.7251,21.9471,23.7099,27.9369
1.2024,19.0807,19.5696,20.8905,22.5465,25.1491,26.2690
1.5030,19.1405,19.8254,20.7715,21.4991,24.3030,30.5593
1.8036,19.1538,20.0251,20.6947,22.5310,24.7761,30.2670
2.1042,19.0992,19.9411,20.7619,22.6123,24.6453,29.0733
2.4048,19.0891,19.8885,20.8010,22.6573,24.6760,29.3994
2.7054,19.1619,19.9937,20.8499,22.7105,24.8145,30.1337
3.0060,19.1930,19.9924,20.8735,22.7264,24.8922,30.2601
3.3066,19.1374,19.9451,20.8204,22.6960,24.8530,30.7340
3.6072,19.1596,19.9676,20.8218,22.6812,24.8214,30.4948
3.9078,19.2098,20.0437,20.9186,22.7777,24.9170,30.6175
4.2084,19.1618,19.9799,20.8689,22.7551,24.8788,30.5663
4.5090,19.1721,19.9789,20.8418,22.7182,24.8705,30.5310
4.8096,19.2160,20.0414,20.9130,22.7514,24.8733,30.5657
5.1102,19.2324,20.0605,20.9350,22.8119,24.9433,30.6124
5.4108,19.1862,20.0019,20.8803,22.7728,24.8972,30.5874
5.7114,19.2288,20.0333,20.9018,22.7620,24.9072,30.5457
6.0120,19.2792,20.1003,20.9764,22.8406,24.9457,30.6513
6.3126,19.2287,20.0506,20.9382,22.8300,24.9707,30.6248
6.6132,19.2426,20.0502,20.9178,22.8133,24.9568,30.6035
6.9138,19.3000,20.1097,20.9779,22.8288,24.9454,30.5884
7.2144,19.2956,20.1294,21.0086,22.8966,25.0168,30.7054
7.5150,19.2653,20.0877,20.9636,22.8673,24.9920,30.6623
7.8156,19.3105,20.1235,20.9842,22.8568,25.0089,30.6746
8.1162,19.3521,20.1821,21.0591,22.9169,25.0082,30.6661
8.4168,19.3032,20.1313,21.0157,22.9276,25.1043,30.7517
8.7174,19.3365,20.1443,21.0154,22.9124,25.0557,30.7119
9.0180,19.3814,20.2012,21.0686,22.9185,25.0593,30.7113
9.3186,19.3647,20.2040,21.0965,22.9928,25.0935,30.7271
9.6192,19.3582,20.1750,21.0559,22.9660,25.1402,30.8016
9.9198,19.4034,20.2159,21.0771,22.9634,25.1300,30.7719
10.2204,19.4311,20.2699,21.1513,23.0064,25.1372,30.7693
10.5210,19.3947,20.2230,21.1168,23.0404,25.1920,30.8103
10.8216,19.4333,20.2438,21.1140,23.0223,25.1581,30.8604
11.1222,19.4744,20.2961,21.1644,23.0231,25.1915,30.8324
11.4228,19.4485,20.2916,21.1916,23.0933,25.1884,30.8281
11.7234,19.4629,20.2738,21.1576,23.0766,25.2639,30.8883
12.0240,19.5011,20.3156,21.1810,23.0788,25.2276,30.9077
12.3246,19.5151,20.3746,21.2454,23.1020,25.2485,30.9026
12.6253,19.4909,20.3250,21.2149,23.1548,25.2888,30.8959
12.9259,19.5307,20.3604,21.2184,23.1330,25.3015,30.9696
13.2265,19.5684,20.4007,21.2627,23.1374,25.3013,30.9617
13.5271,19.5387,20.4044,21.2917,23.1944,25.3107,30.9688
13.8277,19.5675,20.3942,21.2624,23.1930,25.3644,30.9654
14.1283,19.5987,20.4220,21.2899,23.1923,25.3418,31.0462
14.4289,19.6038,20.4601,21.3431,23.2106,25.3751,31.0192
14.7295,19.5971,20.4332,21.3176,23.2654,25.3751,31.0375
15.0301,19.6330,20.4619,21.3287,23.2443,25.4414,31.0406
15.3307,19.6614,20.5050,21.3690,23.2689,25.4073,31.1148
15.6313,19.6334,20.4973,21.3912,23.3082,25.4355,31.0871
15.9319,19.6734,20.4940,21.3695,23.3105,25.4700,31.1052
16.2325,19.6980,20.5290,21.3965,23.3189,25.4948,31.1238
16.5331,19.6913,20.5558,21.4465,23.3242,25.4893,31.1785
16.8337,19.7009,20.5280,21.4214,23.3889,25.4966,31.1512
17.1343,19.7403,20.5679,21.4369,23.3628,25.5452,31.1720
17.4349,19.7605,20.5984,21.4729,23.3859,25.5430,31.2046
17.7355,19.7341,20.5878,21.4927,23.4026,25.5683,31.2361
18.0361,19.7819,20.6041,21.4770,23.4378,25.5715,31.2239
18.3367,19.8013,20.6354,21.5066,23.4333,25.6101,31.2419
18.6373,19.7934,20.6585,21.5475,23.4450,25.6092,31.2857
18.9379,19.8095,20.6411,21.5252,23.4913,25.6262,31.2921
19.2385,19.8284,20.6713,21.5506,23.4805,25.6527,31.2977
19.5391,19.8526,20.7013,21.5779,23.5023,25.6581,31.3087
19.8397,19.8488,20.6920,21.5942,23.5215,25.6827,31.3647
20.1403,19.8777,20.7218,21.5903,23.5480,25.6980,31.3488
20.4409,19.9021,20.7398,21.6242,23.5498,25.7336,31.3725
20.7415,19.8830,20.7398,21.6616,23.5627,25.7255,31.3792
21.0421,19.9234,20.7477,21.6348,23.6063,25.7468,31.4376
21.3427,19.9376,20.7822,21.6684,23.6022,25.7486,31.4100
21.6433,19.9501,20.8007,21.6970,23.6175,25.8156,31.4452
21.9439,19.9549,20.7943,21.7099,23.6308,25.7872,31.4516
22.2445,19.9799,20.8210,21.6972,23.6762,25.8251,31.5222
22.5451,19.9976,20.8494,21.7402,23.6546,25.8448,31.4818
22.8457,19.9936,20.8457,21.7541,23.6904,25.8537,31.5266
23.1463,20.0227,20.8578,21.7467,23.7134,25.8810,31.5271
23.4469,20.0295,20.8811,21.7846,23.7125,25.8720,31.5845
23.7475,20.0424,20.9026,21.7939,23.7322,25.9153,31.5491
24.0481,20.0553,20.8961,21.8058,23.7456,25.9124,31.5938
24.3487,20.0767,20.9329,21.8063,23.7921,25.9378,31.6104
24.6493,20.0896,20.9331,21.8420,23.7647,25.9533,31.6340
24.9499,20.0920,20.9460,21.8645,23.8058,25.9958,31.6342
25.2505,20.1278,20.9558,21.8462,23.8156,25.9747,31.6663
25.5511,20.1227,20.9865,21.8846,23.8308,26.0055,31.6994
25.8517,20.1368,20.9951,21.9038,23.8385,26.0274,31.6796
26.1523,20.1670,20.9916,21.9097,23.8688,26.0410,31.7135
26.4529,20.1711,21.0373,21.9202,23.8924,26.0635,31.7219
26.7535,20.1933,21.0461,21.9522,23.8834,26.0734,31.7542
