time_ms,T_IR_Pd0um,T_IR_Pd10um,T_IR_Pd20um,T_IR_Pd40um,T_IR_Pd60um,T_IR_Pd100um
0.0000,120.8500,120.8500,120.8500,120.8500,120.8500,120.8500
0.3006,120.9173,120.9173,120.9123,120.9126,120.9074,120.8894
0.6012,121.0276,121.0294,121.0223,121.0226,121.0236,121.0054
0.9018,121.1573,121.1543,121.1534,121.1516,121.1319,121.1170
1.2024,121.2830,121.2839,121.2762,121.2769,121.2630,121.2399
1.5030,121.3992,121.3999,121.3931,121.3947,121.3822,121.3373
1.8036,121.4984,121.4996,121.4934,121.4949,121.4853,121.4305
2.1042,121.5738,121.5758,121.5703,121.5728,121.5659,121.5046
2.4048,121.6335,121.6361,121.6312,121.6353,121.6305,121.5646
2.7054,121.6807,121.6841,121.6795,121.6850,121.6820,121.6117
3.0060,121.7278,121.7314,121.7274,121.7336,121.7323,121.6590
3.3066,121.7805,121.7843,121.7806,121.7873,121.7875,121.7131
3.6072,121.8368,121.8408,121.8373,121.8446,121.8458,121.7712
3.9078,121.8953,121.8994,121.8961,121.9038,121.9063,121.8309
4.2084,121.9537,121.9578,121.9547,121.9627,121.9660,121.8903
4.5090,122.0103,122.0143,122.0112,122.0194,122.0236,121.9479
4.8096,122.0634,122.0673,122.0642,122.0727,122.0777,122.0027
5.1102,122.1105,122.1142,122.1112,122.1199,122.1259,122.0514
5.4108,122.1506,122.1542,122.1512,122.1601,122.1669,122.0930
5.7114,122.1839,122.1875,122.1846,122.1936,122.2009,122.1283
6.0120,122.2111,122.2146,122.2118,122.2211,122.2293,122.1582
6.3126,122.2318,122.2354,122.2326,122.2422,122.2511,122.1814
6.6132,122.2469,122.2505,122.2478,122.2576,122.2674,122.1989
6.9138,122.2571,122.2606,122.2581,122.2682,122.2784,122.2118
7.2144,122.2621,122.2657,122.2632,122.2738,122.2851,122.2203
7.5150,122.2625,122.2661,122.2638,122.2747,122.2866,122.2236
7.8156,122.2588,122.2624,122.2603,122.2714,122.2840,122.2226
8.1162,122.2513,122.2551,122.2531,122.2647,122.2780,122.2185
8.4168,122.2400,122.2438,122.2421,122.2540,122.2681,122.2109
8.7174,122.2254,122.2292,122.2277,122.2400,122.2549,122.1996
